"","GARCH","EGARCH","GJR","RV"
"2013-02-03",1.95059991900868,1.49925682057478,1.45197175767066,1.22992012795422
"2013-02-10",1.76934612921596,1.39597557104852,1.38198867932509,1.66576825037067
"2013-02-17",1.60362708464493,1.29907353319899,1.32884788615532,0.219750866754074
"2013-02-24",1.46989146032403,1.21316989490677,1.28994105061702,1.80413867164514
"2013-03-03",1.37414193451504,1.21742322339237,1.2759525695076,2.33373343438989
"2013-03-10",1.29866534728695,1.14844194989023,1.25218043942751,1.16731150541008
"2013-03-17",1.63254081620172,1.17350469503097,1.26369515558027,0.720267543466884
"2013-03-24",1.52106780964663,1.13002180908599,1.24561245648189,1.4186154231537
"2013-03-31",1.41110399373393,1.14030564504191,1.24172970968185,0.938451409627582
"2013-04-07",1.37927314158969,1.10983710177003,1.23162742650742,1.39273891341448
"2013-04-14",1.39377551843206,1.38141706099369,1.40478380260897,1.4812879122015
"2013-04-21",1.72281345008944,1.36590008793798,1.37401447158231,3.27520650484
"2013-04-28",1.88377879278774,2.00557321124617,1.96878395499008,1.21935614407667
"2013-05-05",1.88730628691263,1.83153004985586,1.7841244089114,1.85036591653541
"2013-05-12",1.95909490465676,1.70894567716292,1.64805023231545,0.895258077227789
"2013-05-19",1.84005764634462,1.58138537215881,1.5326639215177,1.60650552382116
"2013-05-26",1.93578308605284,1.51525560563525,1.46140183570324,0.902023936653387
"2013-06-02",1.80603255375388,1.70611283059605,1.56924530992384,1.76371161271994
"2013-06-09",1.72099416915733,1.87202158945072,1.66309167090741,2.21840993992615
"2013-06-16",1.60470101280501,1.69246112101498,1.53989209278145,2.06187622253512
"2013-06-23",1.55316871318822,1.81958763019255,1.60291029168834,3.09880640615204
"2013-06-30",1.77584480470932,2.29419177570773,2.08310420358086,1.96582159464422
"2013-07-07",1.65729227297414,2.01899758825952,1.86343758978861,1.15344042628295
"2013-07-14",1.69990272232091,1.83650547956573,1.70120625180398,1.64351902233815
"2013-07-21",2.1106625992774,1.7485113596645,1.60720471493373,0.715260534903205
"2013-07-28",1.89593377545272,1.59378253432125,1.49737224858333,0.541721232934526
"2013-08-04",1.69468780076943,1.45201367954095,1.41302048322846,1.31214100662809
"2013-08-11",1.62503729887288,1.37335714646887,1.35728942591112,0.880358842293869
"2013-08-18",1.57677955874274,1.59842233697495,1.50110859698882,1.59318837990144
"2013-08-25",1.78903251151219,2.14710546400533,2.02726918776343,1.31278277403525
"2013-09-01",1.62745698696751,1.89237939185995,1.81764817236571,1.71440627977362
"2013-09-08",1.74581306353337,2.24299288115894,2.08213651944634,0.91699433803486
"2013-09-15",1.71307146027674,1.99826929626433,1.86713115872108,1.34364918299274
"2013-09-22",1.8306264582527,1.83527314022931,1.71015843139702,1.58845001434964
"2013-09-29",1.76291611700471,1.68376765119868,1.58071313246189,0.808936217844124
